index,latitude,longitude
0,-42.2976,147.3629
1,-42.2941,147.3856
2,-42.3129,147.356
3,-42.2976,147.3629
4,-27.2067,151.2803
5,-27.2106,151.3035
6,-27.2988,151.4213
7,-27.3074,151.487
8,-34.7779,149.7319
9,-34.7758,149.71
10,-17.0997,145.7803
11,-17.1127,145.8107
12,-17.1429,145.8409
13,-17.1445,145.8492
14,-17.1628,145.875
15,-17.1911,145.8896
16,-17.2075,145.9058
17,-17.229,145.9185
18,-17.2517,145.9225
19,-17.268,145.9189
20,-17.2836,145.9204
21,-17.2956,145.927
22,-17.311,145.9246
23,-17.3393,145.9277
24,-17.3618,145.9248
25,-17.3696,145.9126
26,-17.4214,145.9079
27,-17.4319,145.9258
28,-17.4342,145.9384
29,-17.4421,145.9429
30,-17.4451,145.9549
31,-17.4732,145.9689
32,-17.479,145.9888
33,-17.4983,145.9943
34,-17.5147,145.9908
35,-17.5429,146.0263
36,-17.5459,146.0327
37,-17.5665,146.0362
38,-17.5773,146.0421
39,-17.59,146.0321
40,-17.6411,146.0287
41,-17.6589,146.0364
42,-17.6674,146.0362
43,-17.677,146.044
44,-17.6899,146.0448
45,-17.6981,146.0512
46,-17.7076,146.0503
47,-17.714,146.0423
48,-17.7488,146.0281
49,-17.7488,146.0281
50,-17.7804,146.0283
51,-17.7972,146.0091
52,-17.8088,146.0071
53,-17.9806,145.9462
54,-17.9982,145.9372
55,-18.0215,145.932
56,-18.0484,145.9125
57,-18.0636,145.9085
58,-18.1053,145.9083
59,-18.1722,145.9352
60,-18.2046,145.9568
61,-20.3914,148.5858
62,-20.3855,148.575
63,-20.3606,148.5569
64,-20.3441,148.5537
65,-20.3235,148.5554
66,-20.3094,148.5492
67,-20.3034,148.5161
68,-20.2892,148.4961
69,-20.2583,148.4662
70,-20.2246,148.3983
71,-20.1789,148.3499
72,-20.1546,148.3169
73,-20.1417,148.2913
74,-20.1342,148.2629
75,-20.1257,148.2554
76,-20.103,148.2463
77,-20.0731,148.247
78,-20.0425,148.2279
79,-20.0318,148.2152
80,-20.0154,148.2207
81,-20.017,148.1912
82,-27.0441,151.0769
83,-27.0002,151.028
84,-27.1229,151.1053
85,-27.0937,151.0931
86,-27.0649,151.088
87,-27.0574,151.0918
88,-27.0441,151.0769
89,-27.1769,151.2527
90,-27.1406,151.1382
91,-27.1229,151.1053
92,-27.1817,151.2621
93,-27.1991,151.278
94,-27.2067,151.2803
95,-28.1223,152.0678
96,-28.1634,152.073
97,-28.1897,152.047
98,-28.206,152.0431
99,-28.206,152.0431
