index,latitude,longitude
0,-42.2976,147.3629
1,-42.2974,147.3639
2,-42.2973,147.3649
3,-42.2971,147.3659
4,-42.297,147.3668
5,-42.2968,147.3678
6,-42.2967,147.3688
7,-42.2965,147.3698
8,-42.2964,147.3708
9,-42.2962,147.3718
10,-42.2961,147.3728
11,-42.2959,147.3738
12,-42.2958,147.3747
13,-42.2956,147.3757
14,-42.2955,147.3767
15,-42.2953,147.3777
16,-42.2952,147.3787
17,-42.295,147.3797
18,-42.2949,147.3807
19,-42.2947,147.3817
20,-42.2946,147.3826
21,-42.2944,147.3836
22,-42.2943,147.3846
23,-42.2941,147.3856
24,-42.3129,147.356
25,-42.312,147.3564
26,-42.3111,147.3568
27,-42.3102,147.3572
28,-42.3093,147.3576
29,-42.3084,147.358
30,-42.3075,147.3584
31,-42.3066,147.3588
32,-42.3057,147.3592
33,-42.3048,147.3597
34,-42.3039,147.3601
35,-42.303,147.3605
36,-42.3021,147.3609
37,-42.3012,147.3613
38,-42.3003,147.3617
39,-42.2994,147.3621
40,-42.2985,147.3625
41,-42.2976,147.3629
42,-27.2067,151.2803
43,-27.2069,151.2813
44,-27.207,151.2822
45,-27.2072,151.2832
46,-27.2074,151.2842
47,-27.2075,151.2851
48,-27.2077,151.2861
49,-27.2078,151.2871
50,-27.208,151.288
51,-27.2082,151.289
52,-27.2083,151.29
53,-27.2085,151.2909
54,-27.2087,151.2919
55,-27.2088,151.2929
56,-27.209,151.2938
57,-27.2091,151.2948
58,-27.2093,151.2958
59,-27.2095,151.2967
60,-27.2096,151.2977
61,-27.2098,151.2987
62,-27.21,151.2996
63,-27.2101,151.3006
64,-27.2103,151.3016
65,-27.2104,151.3025
66,-27.2106,151.3035
67,-27.2112,151.3043
68,-27.2118,151.3051
69,-27.2124,151.3059
70,-27.213,151.3067
71,-27.2136,151.3075
72,-27.2142,151.3083
73,-27.2148,151.3091
74,-27.2154,151.3099
75,-27.216,151.3107
76,-27.2166,151.3115
77,-27.2172,151.3123
78,-27.2178,151.3131
79,-27.2183,151.3138
80,-27.2189,151.3146
81,-27.2195,151.3154
82,-27.2201,151.3162
83,-27.2207,151.317
84,-27.2213,151.3178
85,-27.2219,151.3186
86,-27.2225,151.3194
87,-27.2231,151.3202
88,-27.2237,151.321
89,-27.2243,151.3218
90,-27.2249,151.3226
91,-27.2255,151.3234
92,-27.2261,151.3242
93,-27.2267,151.325
94,-27.2273,151.3258
95,-27.2279,151.3266
96,-27.2285,151.3274
97,-27.2291,151.3282
98,-27.2297,151.329
99,-27.2303,151.3298
100,-27.2309,151.3306
101,-27.2315,151.3314
102,-27.2321,151.3322
103,-27.2327,151.3329
104,-27.2332,151.3337
105,-27.2338,151.3345
106,-27.2344,151.3353
107,-27.235,151.3361
108,-27.2356,151.3369
109,-27.2362,151.3377
110,-27.2368,151.3385
111,-27.2374,151.3393
112,-27.238,151.3401
113,-27.2386,151.3409
114,-27.2392,151.3417
115,-27.2398,151.3425
116,-27.2404,151.3433
117,-27.241,151.3441
118,-27.2416,151.3449
119,-27.2422,151.3457
120,-27.2428,151.3465
121,-27.2434,151.3473
122,-27.244,151.3481
123,-27.2446,151.3489
124,-27.2452,151.3497
125,-27.2458,151.3505
126,-27.2464,151.3513
127,-27.247,151.3521
128,-27.2475,151.3528
129,-27.2481,151.3536
130,-27.2487,151.3544
131,-27.2493,151.3552
132,-27.2499,151.356
133,-27.2505,151.3568
134,-27.2511,151.3576
135,-27.2517,151.3584
136,-27.2523,151.3592
137,-27.2529,151.36
138,-27.2535,151.3608
139,-27.2541,151.3616
140,-27.2547,151.3624
141,-27.2553,151.3632
142,-27.2559,151.364
143,-27.2565,151.3648
144,-27.2571,151.3656
145,-27.2577,151.3664
146,-27.2583,151.3672
147,-27.2589,151.368
148,-27.2595,151.3688
149,-27.2601,151.3696
150,-27.2607,151.3704
151,-27.2613,151.3712
152,-27.2619,151.372
153,-27.2624,151.3727
154,-27.263,151.3735
155,-27.2636,151.3743
156,-27.2642,151.3751
157,-27.2648,151.3759
158,-27.2654,151.3767
159,-27.266,151.3775
160,-27.2666,151.3783
161,-27.2672,151.3791
162,-27.2678,151.3799
163,-27.2684,151.3807
164,-27.269,151.3815
165,-27.2696,151.3823
166,-27.2702,151.3831
167,-27.2708,151.3839
168,-27.2714,151.3847
169,-27.272,151.3855
170,-27.2726,151.3863
171,-27.2732,151.3871
172,-27.2738,151.3879
173,-27.2744,151.3887
174,-27.275,151.3895
175,-27.2756,151.3903
176,-27.2762,151.3911
177,-27.2768,151.3918
178,-27.2773,151.3926
179,-27.2779,151.3934
180,-27.2785,151.3942
181,-27.2791,151.395
182,-27.2797,151.3958
183,-27.2803,151.3966
184,-27.2809,151.3974
185,-27.2815,151.3982
186,-27.2821,151.399
187,-27.2827,151.3998
188,-27.2833,151.4006
189,-27.2839,151.4014
190,-27.2845,151.4022
191,-27.2851,151.403
192,-27.2857,151.4038
193,-27.2863,151.4046
194,-27.2869,151.4054
195,-27.2875,151.4062
196,-27.2881,151.407
197,-27.2887,151.4078
198,-27.2893,151.4086
199,-27.2899,151.4094
200,-27.2905,151.4102
201,-27.2911,151.411
202,-27.2916,151.4117
203,-27.2922,151.4125
204,-27.2928,151.4133
205,-27.2934,151.4141
206,-27.294,151.4149
207,-27.2946,151.4157
208,-27.2952,151.4165
209,-27.2958,151.4173
210,-27.2964,151.4181
211,-27.297,151.4189
212,-27.2976,151.4197
213,-27.2982,151.4205
214,-27.2988,151.4213
215,-27.2989,151.4223
216,-27.2991,151.4233
217,-27.2992,151.4242
218,-27.2993,151.4252
219,-27.2994,151.4262
220,-27.2996,151.4272
221,-27.2997,151.4282
222,-27.2998,151.4291
223,-27.3,151.4301
224,-27.3001,151.4311
225,-27.3002,151.4321
226,-27.3003,151.4331
227,-27.3005,151.434
228,-27.3006,151.435
229,-27.3007,151.436
230,-27.3009,151.437
231,-27.301,151.438
232,-27.3011,151.439
233,-27.3012,151.4399
234,-27.3014,151.4409
235,-27.3015,151.4419
236,-27.3016,151.4429
237,-27.3018,151.4439
238,-27.3019,151.4448
239,-27.302,151.4458
240,-27.3021,151.4468
241,-27.3023,151.4478
242,-27.3024,151.4488
243,-27.3025,151.4497
244,-27.3027,151.4507
245,-27.3028,151.4517
246,-27.3029,151.4527
247,-27.303,151.4537
248,-27.3032,151.4546
249,-27.3033,151.4556
250,-27.3034,151.4566
251,-27.3035,151.4576
252,-27.3037,151.4586
253,-27.3038,151.4595
254,-27.3039,151.4605
255,-27.3041,151.4615
256,-27.3042,151.4625
257,-27.3043,151.4635
258,-27.3044,151.4644
259,-27.3046,151.4654
260,-27.3047,151.4664
261,-27.3048,151.4674
262,-27.305,151.4684
263,-27.3051,151.4693
264,-27.3052,151.4703
265,-27.3053,151.4713
266,-27.3055,151.4723
267,-27.3056,151.4733
268,-27.3057,151.4743
269,-27.3059,151.4752
270,-27.306,151.4762
271,-27.3061,151.4772
272,-27.3062,151.4782
273,-27.3064,151.4792
274,-27.3065,151.4801
275,-27.3066,151.4811
276,-27.3068,151.4821
277,-27.3069,151.4831
278,-27.307,151.4841
279,-27.3071,151.485
280,-27.3073,151.486
281,-27.3074,151.487
282,-34.7779,149.7319
283,-34.7778,149.7309
284,-34.7777,149.73
285,-34.7776,149.729
286,-34.7775,149.7281
287,-34.7774,149.7271
288,-34.7774,149.7262
289,-34.7773,149.7252
290,-34.7772,149.7243
291,-34.7771,149.7233
292,-34.777,149.7224
293,-34.7769,149.7214
294,-34.7768,149.7205
295,-34.7767,149.7195
296,-34.7766,149.7186
297,-34.7765,149.7176
298,-34.7764,149.7167
299,-34.7763,149.7157
300,-34.7763,149.7148
301,-34.7762,149.7138
302,-34.7761,149.7129
303,-34.776,149.7119
